# magma_version=2.29-7
# os=Ubuntu 24.04.4 LTS
# memory_gb=192
# hostname=b423dc6346fe
# cpu=13th Gen Intel(R) Core(TM) i9-13900KS
# pinned_cores=4,5;6,7;8,9;10,11;12,13;14,15
# workers=6
# fallback_budget=3600
# date=2026-05-27T12:53:48-04:00
label	D	alg	walltime_seconds	peak_memory_mb	status
1.101.[ 101, 13, 1 ]	36	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	36	Polarization	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	IsogenyOrbitBuilder	0.040	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	IsogenyGraphBuilder	0.030	32.0937500000000000000000000000	ok
1.101.[ 101, 13, 1 ]	100	Polarization	0.040	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	IsogenyOrbitBuilder	0.070	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	IsogenyGraphBuilder	0.080	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	4	Polarization	0.180	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	IsogenyOrbitBuilder	0.060	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	IsogenyGraphBuilder	0.070	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	9	Polarization	0.100	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	IsogenyOrbitBuilder	0.090	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	IsogenyGraphBuilder	0.090	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	12	Polarization	0.220	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	36	IsogenyOrbitBuilder	0.090	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	36	IsogenyGraphBuilder	0.120	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	36	Polarization	0.200	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	100	IsogenyOrbitBuilder	0.290	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	100	IsogenyGraphBuilder	0.230	32.0937500000000000000000000000	ok
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	100	Polarization	0.290	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	4	IsogenyOrbitBuilder	0.080	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	4	IsogenyGraphBuilder	0.220	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	4	Polarization	0.410	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	9	IsogenyOrbitBuilder	0.060	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	9	IsogenyGraphBuilder	0.100	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	9	Polarization	0.290	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	12	IsogenyOrbitBuilder	0.080	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	12	IsogenyGraphBuilder	0.220	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	12	Polarization	0.410	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	36	IsogenyOrbitBuilder	0.120	32.0937500000000000000000000000	ok
