4.3.[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	[ 81, 54, -9, -15, -8, -5, -1, 2, 1 ]	4	3	6	14
4.9.[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	[ 6561, -4374, 405, 297, -122, 33, 5, -6, 1 ]	4	9	576	1763
1.101.[ 101, 13, 1 ]	[ 101, 13, 1 ]	1	101	2	2
3.5.[ 125, 0, -5, 11, -1, 0, 1 ]	[ 125, 0, -5, 11, -1, 0, 1 ]	3	5	5	5
2.101.[ 10201, -2323, 326, -23, 1 ]	[ 10201, -2323, 326, -23, 1 ]	2	101	30	30
2.101.[ 10201, -1010, 36, -10, 1 ]	[ 10201, -1010, 36, -10, 1 ]	2	101	100	100
2.101.[ 10201, 1010, 102, 10, 1 ]	[ 10201, 1010, 102, 10, 1 ]	2	101	300	960
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	[ 4096, -512, 32, -27, 2, -2, 1 ]	3	16	1000	1000
